FLUX_UNIT=ergs/cm^2/s/Ang
0 1150.2 2.903805555555556e-10
1 1150.35 3.978611111111111e-10
2 1150.5 2.9947272727272727e-10
3 1150.65 2.9835277777777777e-10
4 1150.8 1.919416666666667e-10
5 1150.95 2.811166666666666e-10
6 1151.1 3.134194444444445e-10
7 1151.25 3.363333333333333e-10
8 1151.4 3.3471868686868687e-10
9 1151.55 3.4928232323232333e-10
10 1151.7 4.0772222222222224e-10
11 1151.85 3.466805555555556e-10
12 1152.0 2.850111111111112e-10
13 1152.15 2.7561919191919203e-10
14 1152.3 3.278566666666666e-10
15 1152.45 3.3238888888888886e-10
16 1152.6 2.9399444444444444e-10
17 1152.75 2.468536111111111e-10
18 1152.9 2.860061616161616e-10
19 1153.05 3.086666666666667e-10
20 1153.2 2.503111111111111e-10
21 1153.35 2.9661944444444437e-10
22 1153.5 2.7000000000000005e-10
23 1153.65 2.434479797979798e-10
24 1153.8 2.0791565656565657e-10
25 1153.95 2.0515555555555558e-10
26 1154.1 2.533333333333333e-10
27 1154.25 2.5952777777777786e-10
28 1154.4 2.7480555555555555e-10
29 1154.55 2.675833333333334e-10
30 1154.7 2.434638888888889e-10
31 1154.85 2.4725e-10
32 1155.0 2.181833333333333e-10
33 1155.15 2.2189722222222224e-10
34 1155.3 2.573583333333333e-10
35 1155.45 2.6141388888888886e-10
36 1155.6 2.808361111111111e-10
37 1155.75 2.481388888888889e-10
38 1155.9 2.4999747474747467e-10
39 1156.05 2.515277777777778e-10
40 1156.2 2.953333333333333e-10
41 1156.35 3.4163888888888886e-10
42 1156.5 2.989166666666667e-10
43 1156.65 3.048055555555555e-10
44 1156.8 3.00825e-10
45 1156.95 3.0224999999999996e-10
46 1157.1 2.2838888888888886e-10
47 1157.25 2.6410555555555557e-10
48 1157.4 2.6408333333333333e-10
49 1157.55 2.63939393939394e-10
50 1157.7 2.4825000000000005e-10
51 1157.85 2.6275e-10
52 1158.0 2.263777777777778e-10
53 1158.15 2.8786944444444443e-10
54 1158.3 3.004833333333333e-10
55 1158.45 3.090416666666667e-10
56 1158.6 3.5022222222222224e-10
57 1158.75 3.5007499999999995e-10
58 1158.9 3.077777777777778e-10
59 1159.05 3.263777777777778e-10
60 1159.2 3.356388888888889e-10
61 1159.35 2.8830555555555555e-10
62 1159.5 3.3036111111111105e-10
63 1159.65 2.679570707070707e-10
64 1159.8 3.203888888888888e-10
65 1159.95 2.834849494949495e-10
66 1160.1 2.4518611111111113e-10
67 1160.25 2.933611111111111e-10
68 1160.4 2.7923611111111113e-10
69 1160.55 3.079722222222222e-10
70 1160.7 2.923611111111112e-10
71 1160.85 2.866083333333334e-10
72 1161.0 2.890833333333333e-10
73 1161.15 3.043333333333334e-10
74 1161.3 2.902272727272728e-10
75 1161.45 2.7478888888888887e-10
76 1161.6 3.083611111111111e-10
77 1161.75 3.1263888888888885e-10
78 1161.9 3.079583333333333e-10
79 1162.05 3.3703535353535347e-10
80 1162.2 3.456666666666666e-10
81 1162.35 3.316666666666666e-10
82 1162.5 2.69e-10
83 1162.65 2.648282828282829e-10
84 1162.8 3.106666666666667e-10
85 1162.95 3.134972222222222e-10
86 1163.1 2.9902777777777777e-10
87 1163.25 2.902222222222222e-10
88 1163.4 2.799833333333333e-10
89 1163.55 3.193888888888888e-10
90 1163.7 3.287222222222222e-10
91 1163.85 3.4122222222222227e-10
92 1164.0 3.332777777777778e-10
93 1164.15 3.0723333333333333e-10
94 1164.3 3.234722222222222e-10
95 1164.45 3.050555555555556e-10
96 1164.6 2.8952777777777775e-10
97 1164.75 2.477388888888889e-10
98 1164.9 2.363055555555555e-10
99 1165.05 2.5388888888888887e-10
100 1165.2 2.5627222222222216e-10
101 1165.35 2.5552777777777777e-10
102 1165.5 2.738333333333333e-10
103 1165.65 2.303611111111111e-10
104 1165.8 2.6989444444444444e-10
105 1165.95 2.647222222222222e-10
106 1166.1 2.599777777777778e-10
107 1166.25 2.908333333333333e-10
108 1166.4 2.492777777777778e-10
109 1166.55 2.678333333333334e-10
110 1166.7 2.348055555555556e-10
111 1166.85 2.3991944444444445e-10
112 1167.0 2.6294444444444443e-10
113 1167.15 2.4261944444444445e-10
114 1167.3 2.6272222222222223e-10
115 1167.45 2.739166666666667e-10
116 1167.6 2.48075e-10
117 1167.75 2.670833333333333e-10
118 1167.9 2.681666666666667e-10
119 1168.05 2.585555555555555e-10
120 1168.2 2.5547222222222223e-10
121 1168.35 2.6577777777777776e-10
122 1168.5 2.347722222222222e-10
123 1168.65 2.336111111111111e-10
124 1168.8 2.217916666666667e-10
125 1168.95 1.7900277777777782e-10
126 1169.1 1.87475e-10
127 1169.25 1.7800959595959596e-10
128 1169.4 1.733958333333333e-10
129 1169.55 1.8000707070707071e-10
130 1169.7 1.7552777777777778e-10
131 1169.85 1.7555833333333331e-10
132 1170.0 1.8856666666666663e-10
133 1170.15 1.8365555555555558e-10
134 1170.3 1.592638888888889e-10
135 1170.45 1.738527777777778e-10
136 1170.6 1.765e-10
137 1170.75 1.5593055555555558e-10
138 1170.9 1.647083333333333e-10
139 1171.05 1.5933055555555556e-10
140 1171.2 1.7579166666666662e-10
141 1171.35 1.581916666666667e-10
142 1171.5 1.7426388888888888e-10
143 1171.65 1.6866868686868688e-10
144 1171.8 1.5104275252525252e-10
145 1171.95 1.5916666666666666e-10
146 1172.1 1.315e-10
147 1172.25 1.5164444444444447e-10
148 1172.4 1.336310606060606e-10
149 1172.55 1.4373444444444444e-10
150 1172.7 1.6158535353535352e-10
151 1172.85 1.5597510101010104e-10
